"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",47,165988,28.3153,32.0275
,"Baldwin County, AL","01003",348,599360,58.0619,45.8519
,"Barbour County, AL","01005",37,80452,45.9902,40.7670
,"Bibb County, AL","01007",31,67601,45.8573,47.6556
,"Blount County, AL","01009",75,173264,43.2865,39.4631
,"Bullock County, AL","01011",11,32099,Unreliable,Unreliable
,"Butler County, AL","01013",29,60715,47.7641,32.1843
,"Calhoun County, AL","01015",206,348272,59.1492,52.4941
,"Chambers County, AL","01017",59,102361,57.6391,42.0210
,"Cherokee County, AL","01019",38,78099,48.6562,40.5198
,"Chilton County, AL","01021",49,131825,37.1705,34.9960
,"Choctaw County, AL","01023",19,39919,Unreliable,Unreliable
,"Clarke County, AL","01025",29,74827,38.7561,29.3679
,"Clay County, AL","01027",29,40593,71.4409,54.0315
,"Cleburne County, AL","01029",18,45092,Unreliable,Unreliable
,"Coffee County, AL","01031",66,153058,43.1209,38.3914
,"Colbert County, AL","01033",122,163417,74.6556,53.8238
,"Conecuh County, AL","01035",15,38229,Unreliable,Unreliable
,"Coosa County, AL","01037",21,32508,64.5995,53.6056
,"Covington County, AL","01039",36,113635,31.6804,20.8363
,"Crenshaw County, AL","01041",17,41926,Unreliable,Unreliable
,"Cullman County, AL","01043",165,244105,67.5939,57.7880
,"Dale County, AL","01045",63,148933,42.3009,40.4594
,"Dallas County, AL","01047",54,124838,43.2561,38.6058
,"DeKalb County, AL","01049",111,213208,52.0618,50.2441
,"Elmore County, AL","01051",99,243347,40.6826,43.8753
,"Escambia County, AL","01053",60,113505,52.8611,47.1003
,"Etowah County, AL","01055",218,310519,70.2050,57.7289
,"Fayette County, AL","01057",42,50542,83.0992,62.3195
,"Franklin County, AL","01059",57,94829,60.1082,54.7332
,"Geneva County, AL","01061",46,80216,57.3452,42.1464
,"Greene County, AL","01063",11,25776,Unreliable,Unreliable
,"Hale County, AL","01065",27,45658,59.1353,42.3882
,"Henry County, AL","01067",35,51707,67.6891,46.8803
,"Houston County, AL","01069",141,312034,45.1874,38.8095
,"Jackson County, AL","01071",104,158035,65.8082,54.3002
,"Jefferson County, AL","01073",1264,1980639,63.8178,54.1669
,"Lamar County, AL","01075",37,42208,87.6611,60.6375
,"Lauderdale County, AL","01077",226,278489,81.1522,59.8381
,"Lawrence County, AL","01079",35,100179,34.9375,34.2111
,"Lee County, AL","01081",157,462181,33.9694,50.2374
,"Limestone County, AL","01083",100,271295,36.8602,41.2235
,"Lowndes County, AL","01085",14,31741,Unreliable,Unreliable
,"Macon County, AL","01087",23,58218,39.5067,31.1134
,"Madison County, AL","01089",525,1050280,49.9867,49.8304
,"Marengo County, AL","01091",64,60293,106.1483,71.1089
