"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",79,333132,23.7,23.3
,"Baldwin County, AL","01003",675,1266267,53.3,41.1
,"Barbour County, AL","01005",56,154178,36.3,30.6
,"Bibb County, AL","01007",55,135194,40.7,38.3
,"Blount County, AL","01009",114,346775,32.9,27.9
,"Bullock County, AL","01011",20,62370,32.1,27.7
,"Butler County, AL","01013",40,119401,33.5,21.3
,"Calhoun County, AL","01015",312,688757,45.3,38.4
,"Chambers County, AL","01017",83,202624,41.0,28.7
,"Cherokee County, AL","01019",82,155706,52.7,39.7
,"Chilton County, AL","01021",72,264463,27.2,24.3
,"Choctaw County, AL","01023",25,77861,32.1,19.4
,"Clarke County, AL","01025",47,145637,32.3,22.3
,"Clay County, AL","01027",68,80476,84.5,59.0
,"Cleburne County, AL","01029",38,89819,42.3,32.5
,"Coffee County, AL","01031",115,309471,37.2,31.9
,"Colbert County, AL","01033",184,327616,56.2,38.9
,"Conecuh County, AL","01035",29,74550,38.9,23.1
,"Coosa County, AL","01037",39,64323,60.6,41.7
,"Covington County, AL","01039",61,224334,27.2,18.5
,"Crenshaw County, AL","01041",35,83320,42.0,30.3
,"Cullman County, AL","01043",234,495730,47.2,39.2
,"Dale County, AL","01045",126,295629,42.6,36.9
,"Dallas County, AL","01047",71,237571,29.9,25.1
,"DeKalb County, AL","01049",170,427610,39.8,35.7
,"Elmore County, AL","01051",136,489017,27.8,28.3
,"Escambia County, AL","01053",116,224078,51.8,43.4
,"Etowah County, AL","01055",370,616676,60.0,47.4
,"Fayette County, AL","01057",61,99382,61.4,44.7
,"Franklin County, AL","01059",79,189145,41.8,36.7
,"Geneva County, AL","01061",78,159109,49.0,35.2
,"Greene County, AL","01063",17,50128,Unreliable,Unreliable
,"Hale County, AL","01065",54,89393,60.4,43.5
,"Henry County, AL","01067",68,103136,65.9,43.4
,"Houston County, AL","01069",261,627372,41.6,34.2
,"Jackson County, AL","01071",127,312493,40.6,31.4
,"Jefferson County, AL","01073",2226,3957751,56.2,46.8
,"Lamar County, AL","01075",56,83485,67.1,42.8
,"Lauderdale County, AL","01077",330,555664,59.4,42.1
,"Lawrence County, AL","01079",60,198766,30.2,26.8
,"Lee County, AL","01081",220,960326,22.9,30.7
,"Limestone County, AL","01083",179,564694,31.7,33.6
,"Lowndes County, AL","01085",25,61172,40.9,33.5
,"Macon County, AL","01087",38,112755,33.7,24.9
,"Madison County, AL","01089",799,2160829,37.0,35.0
,"Marengo County, AL","01091",95,117115,81.1,53.9
,"Marion County, AL","01093",101,179742,56.2,37.9
,"Marshall County, AL","01095",195,572949,34.0,29.8
,"Mobile County, AL","01097",1068,2486276,43.0,38.8
,"Monroe County, AL","01099",59,128277,46.0,31.6
,"Montgomery County, AL","01101",440,1357952,32.4,29.9
,"Morgan County, AL","01103",342,715770,47.8,41.1
,"Perry County, AL","01105",42,56454,74.4,50.3
,"Pickens County, AL","01107",73,121597,60.0,44.8
,"Pike County, AL","01109",65,199440,32.6,30.9
,"Randolph County, AL","01111",69,136004,50.7,35.5
,"Russell County, AL","01113",77,350227,22.0,22.4
,"St. Clair County, AL","01115",270,528191,51.1,51.3
,"Shelby County, AL","01117",360,1273004,28.3,28.7
,"Sumter County, AL","01119",26,77114,33.7,25.0
,"Talladega County, AL","01121",305,482158,63.3,54.7
,"Tallapoosa County, AL","01123",202,244281,82.7,61.9
,"Tuscaloosa County, AL","01125",440,1238367,35.5,38.5
,"Walker County, AL","01127",225,387022,58.1,48.6
,"Washington County, AL","01129",35,99629,35.1,28.6
,"Wilcox County, AL","01131",16,64862,Unreliable,Unreliable
,"Winston County, AL","01133",47,142843,32.9,22.5
,"Aleutians East Borough, AK","02013",Suppressed,20219,Suppressed,Suppressed
,"Aleutians West Census Area, AK","02016",Suppressed,34219,Suppressed,Suppressed
,"Anchorage Borough, AK","02020",690,1771791,38.9,56.3
,"Bethel Census Area, AK","02050",38,108460,35.0,75.7
,"Bristol Bay Borough, AK","02060",Suppressed,5327,Suppressed,Suppressed
,"Denali Borough, AK","02068",Suppressed,12023,Suppressed,Suppressed
,"Dillingham Census Area, AK","02070",13,29787,Unreliable,Unreliable
,"Fairbanks North Star Borough, AK","02090",86,595116,14.5,23.9
,"Haines Borough, AK","02100",Suppressed,15126,Suppressed,Suppressed
,"Hoonah-Angoon Census Area, AK","02105",Suppressed,12737,Suppressed,Suppressed
,"Juneau Borough, AK","02110",57,193811,29.4,37.2
,"Kenai Peninsula Borough, AK","02122",135,349900,38.6,43.0
,"Ketchikan Gateway Borough, AK","02130",31,82917,37.4,36.0
,"Kodiak Island Borough, AK","02150",19,81398,Unreliable,Unreliable
,"Lake and Peninsula Borough, AK","02164",Suppressed,9555,Suppressed,Suppressed
,"Matanuska-Susitna Borough, AK","02170",185,625801,29.6,50.7
,"Nome Census Area, AK","02180",12,59513,Unreliable,Unreliable
,"North Slope Borough, AK","02185",12,58482,Unreliable,Unreliable
,"Northwest Arctic Borough, AK","02188",11,46118,Unreliable,Unreliable
,"Petersburg Borough/Census Area, AK","02195",Suppressed,19254,Suppressed,Suppressed
,"Prince of Wales-Hyder Census Area, AK","02198",12,38152,Unreliable,Unreliable
,"Prince of Wales-Outer Ketchikan Census Area, AK","02201",Missing,Missing,Missing,Missing
,"Sitka Borough, AK","02220",31,52422,59.1,55.0
,"Skagway Municipality, AK","02230",0,6669,Unreliable,Unreliable
,"Skagway-Hoonah-Angoon Census Area, AK","02232",Missing,Missing,Missing,Missing
,"Southeast Fairbanks Census Area, AK","02240",10,41345,Unreliable,Unreliable
,"Valdez-Cordova Census Area, AK","02261",27,55849,48.3,65.0
,"Wade Hampton Census Area, AK","02270",10,48997,Unreliable,Unreliable
,"Wrangell City and Borough, AK","02275",Suppressed,14683,Suppressed,Suppressed
,"Wrangell-Petersburg Census Area, AK","02280",Missing,Missing,Missing,Missing
,"Yakutat Borough, AK","02282",0,3637,Unreliable,Unreliable
,"Yukon-Koyukuk Census Area, AK","02290",15,32528,Unreliable,Unreliable
,"Apache County, AZ","04001",201,431725,46.6,48.5
,"Cochise County, AZ","04003",339,757093,44.8,30.8
,"Coconino County, AZ","04005",213,844793,25.2,31.5
,"Gila County, AZ","04007",107,321242,33.3,23.2
,"Graham County, AZ","04009",55,227597,24.2,25.2
,"Greenlee County, AZ","04011",12,56924,Unreliable,Unreliable
,"La Paz County, AZ","04012",23,123507,18.6,12.0
,"Maricopa County, AZ","04013",5989,25701406,23.3,21.3
,"Mohave County, AZ","04015",521,1242278,41.9,25.1
,"Navajo County, AZ","04017",285,656729,43.4,41.2
,"Pima County, AZ","04019",1967,6139868,32.0,23.1
,"Pinal County, AZ","04021",393,2567206,15.3,13.1
,"Santa Cruz County, AZ","04023",39,278362,14.0,11.5
,"Yavapai County, AZ","04025",642,1361921,47.1,24.8
,"Yuma County, AZ","04027",233,1246602,18.7,13.5
,"Arkansas County, AR","05001",36,108463,33.2,22.6
,"Ashley County, AR","05003",36,122264,29.4,21.9
,"Baxter County, AR","05005",193,247878,77.9,33.7
,"Benton County, AR","05007",469,1568333,29.9,30.6
,"Boone County, AR","05009",70,224015,31.2,20.9
,"Bradley County, AR","05011",20,65762,30.4,20.4
,"Calhoun County, AR","05013",Suppressed,31288,Suppressed,Suppressed
,"Carroll County, AR","05015",58,167641,34.6,23.3
,"Chicot County, AR","05017",28,64344,43.5,26.7
,"Clark County, AR","05019",44,134540,32.7,25.6
,"Clay County, AR","05021",35,89465,39.1,24.2
,"Cleburne County, AR","05023",67,151297,44.3,22.7
,"Cleveland County, AR","05025",33,49177,67.1,49.7
,"Columbia County, AR","05027",41,142569,28.8,20.9
,"Conway County, AR","05029",45,125692,35.8,24.7
,"Craighead County, AR","05031",362,638712,56.7,55.6
,"Crawford County, AR","05033",93,375326,24.8,22.7
,"Crittenden County, AR","05035",139,292793,47.5,50.6
,"Cross County, AR","05037",46,101506,45.3,32.8
,"Dallas County, AR","05039",24,44412,54.0,31.6
,"Desha County, AR","05041",24,70742,33.9,27.1
,"Drew County, AR","05043",34,111145,30.6,22.8
,"Faulkner County, AR","05045",212,739014,28.7,34.4
,"Franklin County, AR","05047",45,106548,42.2,29.2
,"Fulton County, AR","05049",49,73253,66.9,36.9
,"Garland County, AR","05051",259,589174,44.0,26.8
,"Grant County, AR","05053",41,108946,37.6,31.5
,"Greene County, AR","05055",79,268191,29.5,27.7
,"Hempstead County, AR","05057",26,131519,19.8,15.5
,"Hot Spring County, AR","05059",70,201214,34.8,27.0
,"Howard County, AR","05061",36,80198,44.9,34.2
,"Independence County, AR","05063",69,224186,30.8,23.1
,"Izard County, AR","05065",48,81272,59.1,29.3
,"Jackson County, AR","05067",63,102758,61.3,49.8
,"Jefferson County, AR","05069",160,417931,38.3,32.8
,"Johnson County, AR","05071",47,158194,29.7,25.3
,"Lafayette County, AR","05073",14,41122,Unreliable,Unreliable
,"Lawrence County, AR","05075",70,99810,70.1,46.0
,"Lee County, AR","05077",23,55838,41.2,31.0
,"Lincoln County, AR","05079",26,81548,31.9,28.8
,"Little River County, AR","05081",34,74399,45.7,33.8
,"Logan County, AR","05083",36,130389,27.6,19.3
,"Lonoke County, AR","05085",125,435294,28.7,32.3
,"Madison County, AR","05087",29,96975,29.9,23.4
,"Marion County, AR","05089",75,98721,76.0,45.0
,"Miller County, AR","05091",59,261956,22.5,19.3
,"Mississippi County, AR","05093",88,254857,34.5,33.7
,"Monroe County, AR","05095",Suppressed,42836,Suppressed,Suppressed
,"Montgomery County, AR","05097",55,53760,102.3,55.0
,"Nevada County, AR","05099",19,50584,Unreliable,Unreliable
,"Newton County, AR","05101",10,47139,Unreliable,Unreliable
,"Ouachita County, AR","05103",54,144140,37.5,25.6
,"Perry County, AR","05105",29,61721,47.0,33.7
,"Phillips County, AR","05107",36,112801,31.9,24.4
,"Pike County, AR","05109",26,64797,40.1,30.4
,"Poinsett County, AR","05111",106,143965,73.6,62.6
,"Polk County, AR","05113",25,120745,20.7,13.2
,"Pope County, AR","05115",133,382277,34.8,31.3
,"Prairie County, AR","05117",18,49230,Unreliable,Unreliable
,"Pulaski County, AR","05119",628,2357163,26.6,23.7
,"Randolph County, AR","05121",85,105951,80.2,48.0
,"St. Francis County, AR","05123",31,156047,19.9,18.6
,"Saline County, AR","05125",181,715063,25.3,22.4
,"Scott County, AR","05127",15,62528,Unreliable,Unreliable
,"Searcy County, AR","05129",22,47542,46.3,24.0
,"Sebastian County, AR","05131",226,766036,29.5,25.7
,"Sevier County, AR","05133",23,102887,22.4,21.5
,"Sharp County, AR","05135",74,103176,71.7,37.8
,"Stone County, AR","05137",28,74989,37.3,19.4
,"Union County, AR","05139",82,237515,34.5,26.6
,"Van Buren County, AR","05141",42,99904,42.0,21.7
,"Washington County, AR","05143",229,1382462,16.6,19.5
,"White County, AR","05145",173,473512,36.5,31.7
,"Woodruff County, AR","05147",20,39673,50.4,29.3
,"Yell County, AR","05149",36,129615,27.8,21.6
,"Alameda County, CA","06001",2257,9898112,22.8,21.1
,"Alpine County, CA","06003",Suppressed,6647,Suppressed,Suppressed
,"Amador County, CA","06005",42,228887,18.3,10.6
,"Butte County, CA","06007",417,1356252,30.7,22.2
,"Calaveras County, CA","06009",79,271800,29.1,17.3
,"Colusa County, CA","06011",42,129468,32.4,29.5
,"Contra Costa County, CA","06013",2293,6824391,33.6,27.5
,"Del Norte County, CA","06015",84,165116,50.9,42.7
,"El Dorado County, CA","06017",473,1125672,42.0,30.8
,"Fresno County, CA","06019",1058,5903506,17.9,18.9
,"Glenn County, CA","06021",49,168591,29.1,24.7
,"Humboldt County, CA","06023",334,815867,40.9,34.7
,"Imperial County, CA","06025",177,1086037,16.3,15.8
,"Inyo County, CA","06027",54,108866,49.6,28.1
,"Kern County, CA","06029",808,5331638,15.2,19.1
,"Kings County, CA","06031",177,905426,19.5,26.5
,"Lake County, CA","06033",214,385905,55.5,40.1
,"Lassen County, CA","06035",65,186502,34.9,32.7
,"Los Angeles County, CA","06037",8952,60733044,14.7,13.5
,"Madera County, CA","06039",153,936132,16.3,16.8
,"Marin County, CA","06041",495,1562069,31.7,18.5
,"Mariposa County, CA","06043",41,104866,39.1,20.8
,"Mendocino County, CA","06045",226,525519,43.0,29.4
