"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",26,167615,15.5117,14.9221
,"Baldwin County, AL","01003",134,670543,19.9838,20.5606
,"Barbour County, AL","01005",14,74156,Unreliable,Unreliable
,"Bibb County, AL","01007",11,66930,Unreliable,Unreliable
,"Blount County, AL","01009",39,173545,22.4726,22.3594
,"Bullock County, AL","01011",Suppressed,30215,Suppressed,Suppressed
,"Butler County, AL","01013",Suppressed,58632,Suppressed,Suppressed
,"Calhoun County, AL","01015",72,341351,21.0927,20.2873
,"Chambers County, AL","01017",21,99734,21.0560,22.2005
,"Cherokee County, AL","01019",17,78522,Unreliable,Unreliable
,"Chilton County, AL","01021",26,132978,19.5521,20.3152
,"Choctaw County, AL","01023",Suppressed,37848,Suppressed,Suppressed
,"Clarke County, AL","01025",13,70833,Unreliable,Unreliable
,"Clay County, AL","01027",12,39622,Unreliable,Unreliable
,"Cleburne County, AL","01029",Suppressed,44864,Suppressed,Suppressed
,"Coffee County, AL","01031",26,157481,16.5099,15.5930
,"Colbert County, AL","01033",38,165414,22.9727,22.4287
,"Conecuh County, AL","01035",Suppressed,36195,Suppressed,Suppressed
,"Coosa County, AL","01037",Suppressed,32028,Suppressed,Suppressed
,"Covington County, AL","01039",19,110965,Unreliable,Unreliable
,"Crenshaw County, AL","01041",Suppressed,41277,Suppressed,Suppressed
,"Cullman County, AL","01043",52,251725,20.6575,20.1915
,"Dale County, AL","01045",34,147087,23.1156,24.1846
,"Dallas County, AL","01047",14,111604,Unreliable,Unreliable
,"DeKalb County, AL","01049",53,214556,24.7022,24.7356
,"Elmore County, AL","01051",53,245254,21.6102,20.0121
,"Escambia County, AL","01053",21,109662,19.1498,18.9739
,"Etowah County, AL","01055",67,307140,21.8142,22.4504
,"Fayette County, AL","01057",12,48976,Unreliable,Unreliable
,"Franklin County, AL","01059",10,94232,Unreliable,Unreliable
,"Geneva County, AL","01061",15,78996,Unreliable,Unreliable
,"Greene County, AL","01063",Suppressed,24334,Suppressed,Suppressed
,"Hale County, AL","01065",Suppressed,44047,Suppressed,Suppressed
,"Henry County, AL","01067",Suppressed,51637,Suppressed,Suppressed
,"Houston County, AL","01069",56,317184,17.6554,17.4611
,"Jackson County, AL","01071",31,154944,20.0072,17.5253
,"Jefferson County, AL","01073",269,1973215,13.6326,13.5494
,"Lamar County, AL","01075",Suppressed,41413,Suppressed,Suppressed
,"Lauderdale County, AL","01077",42,278484,15.0817,15.0358
,"Lawrence County, AL","01079",24,98738,24.3068,28.6331
,"Lee County, AL","01081",67,495314,13.5268,13.0284
,"Limestone County, AL","01083",43,297317,14.4627,13.1041
,"Lowndes County, AL","01085",Suppressed,29341,Suppressed,Suppressed
,"Macon County, AL","01087",Suppressed,54402,Suppressed,Suppressed
,"Madison County, AL","01089",184,1118881,16.4450,15.8288
,"Marengo County, AL","01091",10,56662,Unreliable,Unreliable
,"Marion County, AL","01093",22,89175,24.6706,27.4392
,"Marshall County, AL","01095",51,289873,17.5939,17.3287
,"Mobile County, AL","01097",181,1239683,14.6005,14.1745
,"Monroe County, AL","01099",Suppressed,62259,Suppressed,Suppressed
,"Montgomery County, AL","01101",72,676888,10.6369,10.5468
,"Morgan County, AL","01103",78,358651,21.7482,21.8384
,"Perry County, AL","01105",Suppressed,26750,Suppressed,Suppressed
,"Pickens County, AL","01107",Suppressed,59661,Suppressed,Suppressed
,"Pike County, AL","01109",15,99418,Unreliable,Unreliable
,"Randolph County, AL","01111",16,68367,Unreliable,Unreliable
