"County Code","Deaths_Mental_2014","Deaths_Mental_2015","Deaths_Mental_2016","Deaths_Mental_2017","Deaths_Mental_2018","Deaths_Mental_2019","Deaths_Suicide_2014","Deaths_Suicide_2015","Deaths_Suicide_2016","Deaths_Suicide_2017","Deaths_Suicide_2018","Deaths_Suicide_2019","Population_2014","Population_2015","Population_2016","Population_2017","Population_2018","Population_2019"
1001,47,44,39,39,35,51,27,30,35,37,31,26,165988,166158,166267,166521,166974,167615
1003,348,325,375,371,350,274,120,125,126,125,122,134,599360,612383,624900,639213,653884,670543
1005,37,31,30,30,25,31,6,11,9,11,11,14,80452,79341,77724,76116,74837,74156
1007,31,24,25,25,31,31,12,15,10,12,11,11,67601,67732,67894,67711,67462,66930
1009,75,66,59,61,48,59,26,29,32,32,37,39,173264,173096,173390,173557,173679,173545
1011,11,6,10,10,13,16,10,10,10,10,10,10,32099,31822,31367,30809,30548,30215
1013,29,23,24,21,17,13,20,20,20,20,20,20,60715,60448,59977,59503,58953,58632
1015,206,166,153,120,146,166,58,64,78,79,73,72,348272,346147,344959,343616,342610,341351
1017,59,48,45,40,35,41,15,22,29,29,21,21,102361,102042,101679,101171,100582,99734
1019,38,40,38,44,42,49,13,16,15,20,22,17,78099,77621,77441,77614,78085,78522
1021,49,37,30,38,35,35,26,21,16,13,18,26,131825,131815,131951,132161,132648,132978
1023,19,15,11,10,10,11,12,12,12,12,12,12,39919,39486,39108,38779,38375,37848
1025,29,21,19,19,26,27,24,6,11,12,14,13,74827,74012,73150,72395,71625,70833
1027,29,35,33,36,33,36,11,6,34,6,11,12,40593,40599,40414,40134,39877,39622
1029,18,16,15,22,22,27,19,19,19,19,19,19,45092,45022,44842,44811,44797,44864
1031,66,59,57,62,56,67,23,27,18,22,16,26,153058,153346,154311,155009,156125,157481
1033,122,116,99,86,68,66,27,29,24,32,36,38,163417,163113,163070,163478,164503,165414
1035,15,16,17,11,13,11,14,14,14,14,14,14,38229,37737,37536,37141,36813,36195
1037,21,21,26,23,18,20,20,20,20,20,20,20,32508,32191,32059,32050,32132,32028
1039,36,32,26,32,29,41,12,14,22,22,21,19,113635,113207,112385,111536,111127,110965
1041,17,18,19,15,17,17,18,18,18,18,18,18,41926,41853,41747,41608,41467,41277
1043,165,130,115,110,104,104,51,58,58,54,52,52,244105,245765,247231,248668,249965,251725
1045,63,66,61,64,60,63,19,18,25,30,32,34,148933,148275,148017,147408,147354,147087
1047,54,39,35,30,32,31,14,13,15,15,17,14,124838,122850,120354,117533,114721,111604
1049,111,94,88,79,76,79,31,32,42,43,58,53,213208,213095,213647,213902,214515,214556
1051,99,75,74,60,61,63,45,54,48,55,51,53,243347,244244,244944,245363,244773,245254
1053,60,69,62,57,47,51,15,22,29,29,26,21,113505,113250,112964,111923,110828,109662
1055,218,203,189,169,167,141,51,47,47,53,58,67,310519,309152,308376,307820,307524,307140
1057,42,40,30,25,21,21,14,16,13,12,11,12,50542,50179,49773,49447,49203,48976
1059,57,52,49,37,27,23,16,12,16,15,15,10,94829,94925,94819,94486,94220,94232
1061,46,41,49,41,37,34,12,12,12,12,15,15,80216,80103,79812,79349,79006,78996
1063,11,9,12,10,5,8,8,8,8,8,8,8,25776,25454,25231,24985,24674,24334
1065,27,23,23,22,31,42,27,27,27,27,27,27,45658,45204,44832,44490,44189,44047
1067,35,29,31,32,39,41,11,9,10,9,10,5,51707,51575,51532,51520,51561,51637
1069,141,123,130,125,138,125,48,43,46,45,55,56,312034,312422,312575,313124,314950,317184
1071,104,83,55,52,44,49,40,40,41,44,37,31,158035,157222,156466,155783,155271,154944
1073,1264,1074,1082,1129,1152,1079,257,255,290,276,295,269,1980639,1980681,1979085,1978018,1977070,1973215
1075,37,31,25,20,25,24,28,28,28,28,28,28,42208,41890,41750,41708,41595,41413
1077,226,195,179,150,135,108,38,44,44,43,35,42,278489,278010,277452,277243,277654,278484
1079,35,35,31,27,25,27,18,14,15,24,26,24,100179,99836,99408,99250,98930,98738
1081,157,119,87,85,101,107,56,54,55,60,67,67,462181,470239,477588,484536,490087,495314
1083,100,90,88,84,89,87,36,35,35,46,43,43,271295,275203,278818,283329,289491,297317
1085,14,13,11,9,12,14,12,12,12,12,12,12,31741,31396,30892,30408,29776,29341
1087,23,22,22,16,16,25,19,19,19,19,19,19,58218,57493,56823,56157,55262,54402
1089,525,491,441,346,308,298,160,181,192,194,187,184,1050280,1060355,1071102,1084532,1100474,1118881
1091,64,59,58,43,36,37,48,48,48,48,5,10,60293,59811,59076,58114,57304,56662
1093,72,57,43,48,44,45,20,15,15,17,19,22,90773,90437,89999,89594,89305,89175
1095,117,91,93,102,104,99,53,50,52,51,45,51,284121,284518,285430,286814,288431,289873
1097,580,554,520,541,514,503,184,197,200,196,190,181,1244597,1245354,1244186,1242548,1240922,1239683
1099,24,29,31,29,30,41,11,9,12,6,30,30,65856,65150,64530,63924,63127,62259
1101,281,240,214,208,200,221,71,80,83,81,77,72,679367,679057,679514,678758,678895,676888
1103,204,183,162,147,159,151,56,70,80,90,90,78,358959,358184,357395,356919,357586,358651
1105,23,19,21,17,23,24,21,0,0,0,21,21,29498,29052,28565,28053,27402,26750
1107,47,40,31,35,33,36,36,36,36,36,36,36,60630,61553,61364,60438,60044,59661
1109,44,34,37,33,31,32,15,12,6,32,11,15,99774,99721,99599,99891,99719,99418
1111,29,27,35,37,42,51,14,14,18,20,20,16,67962,67887,68018,68047,68117,68367
1113,41,33,43,43,44,33,29,27,27,31,35,36,178853,177440,174877,172998,172787,173979
1115,177,148,111,110,122,135,51,49,45,51,50,49,260079,261790,263292,264908,266401,268941
1117,216,188,172,179,172,173,87,90,96,95,87,85,619548,625990,632940,639934,647014,654837
1119,15,13,9,10,13,17,13,13,13,13,13,13,39630,39309,38830,38418,37805,37343
1121,184,162,169,149,143,130,46,45,48,41,46,35,243280,242287,241030,239996,239871,239791
1123,122,112,100,98,90,81,19,18,19,25,24,24,123212,122736,122252,121905,121545,120997
1125,320,246,187,176,194,225,64,63,67,76,79,81,607009,612290,617889,622824,626077,629024
1127,178,119,104,94,106,93,42,47,50,46,46,36,196763,195732,194319,192736,191290,190375
1129,21,19,17,18,16,15,10,5,18,18,6,11,50515,50394,50091,49665,49235,48680
1131,14,12,6,8,8,8,8,8,8,8,8,8,33464,33143,32764,32332,31719,31206
1133,41,23,17,22,24,24,15,10,9,13,13,17,72173,71832,71404,71187,71011,70797
2013,1,1,1,1,0,1,1,1,1,0,0,0,9793,9997,10007,10181,10222,10253
2016,1,1,1,1,1,1,1,1,1,1,1,1,16963,17099,17112,17133,17120,17037
2020,371,375,319,310,315,336,197,206,212,191,189,195,900655,897897,891243,884086,873894,866633
2050,16,18,20,21,20,22,19,24,27,25,29,33,53572,53782,53990,54260,54678,55039
2060,0,0,0,1,1,1,1,1,0,1,1,1,2809,2747,2657,2642,2580,2501
2068,1,1,0,1,1,1,0,1,1,1,1,1,5707,5793,5946,6086,6230,6237
2070,6,6,6,5,10,12,6,6,6,6,6,6,14995,14939,14883,14886,14848,14749
2090,49,46,40,40,40,52,60,65,69,79,89,81,299424,299593,299939,299279,295523,291471
2100,1,1,1,1,1,1,1,1,1,1,1,1,7692,7596,7556,7496,7530,7618
2105,1,1,1,0,1,1,1,1,0,0,1,1,4215,6293,6356,6374,6444,6440
2110,27,26,33,27,31,36,15,18,26,27,22,17,97822,97630,97318,96675,96181,95936
2122,59,60,66,69,75,76,53,56,48,47,41,46,172683,174042,175182,175656,175858,176655
2130,9,18,17,20,13,14,16,5,10,13,13,6,41225,41242,41311,41520,41675,41566
2150,12,10,9,10,9,16,10,10,6,11,15,12,42010,41607,41069,40525,39791,39335
2164,1,1,0,0,1,1,1,1,0,0,1,1,4842,4756,4745,4769,4799,4672
2170,103,93,76,78,92,112,60,63,71,73,77,79,294169,303342,311992,318507,322459,326140
2180,6,6,6,6,6,6,21,18,20,17,18,23,29555,29580,29684,29846,29933,29921
2185,6,6,6,6,6,6,10,12,10,5,6,6,29076,28996,29075,29260,29486,28998
2188,6,6,6,6,6,6,10,13,15,21,24,21,23154,23142,23109,23028,22976,22936
2195,0,0,0,1,6,11,1,1,1,1,1,1,6337,9486,9607,9651,9768,9783
2198,6,6,6,6,6,6,6,6,6,6,6,6,12737,19084,19131,19212,19068,18772
2201,0,4,4,4,4,4,0,4,4,4,4,4,5786,NA,NA,NA,NA,NA
2220,12,12,13,16,19,22,16,16,16,16,16,16,26783,26593,26382,26166,25829,25545
2230,0,0,0,0,0,1,0,0,0,0,0,0,2093,3181,3302,3393,3488,3510
2232,0,1,1,1,1,1,0,1,1,1,1,1,3140,NA,NA,NA,NA,NA
2240,5,5,5,5,6,11,5,5,5,5,5,5,20755,20646,20603,20682,20699,20768
2261,10,13,11,11,14,17,12,6,14,14,14,14,28613,28205,27995,27797,27644,18366
2270,5,5,5,5,5,5,31,31,36,24,24,26,24106,24178,24370,24554,24819,24945
2275,1,1,1,1,1,1,1,1,1,1,1,1,4746,7157,7314,7435,7526,7515
2280,2,2,2,2,2,2,2,2,2,2,2,2,6174,NA,NA,NA,NA,NA
2282,0,0,0,0,0,1,0,0,0,0,0,0,1890,1849,1819,1810,1788,1820
2290,8,8,6,11,11,10,10,5,8,8,8,8,16775,16606,16424,16218,15922,15634
4001,110,99,87,96,102,134,72,64,66,76,71,74,215236,216414,216192,216536,215311,215580
4003,166,171,172,177,168,191,91,97,94,89,95,89,383348,379645,376953,377296,377448,380142
4005,120,116,97,101,97,126,91,87,98,112,130,130,413318,417687,420781,424538,427106,428811
4007,87,61,47,50,46,46,53,50,52,67,75,74,159331,159834,160216,160946,161408,162210
4009,40,31,25,24,24,30,20,25,28,26,17,12,113105,113222,112731,113137,114375,116120
4011,6,6,6,6,6,6,6,6,6,6,6,6,27924,28488,28597,28551,28436,28322
4012,17,8,12,10,14,17,21,21,25,26,29,20,60707,60700,61070,62016,62807,63686
4013,3409,3091,2765,2899,2898,3085,1956,2018,2042,2106,2148,2186,12264550,12498135,12717977,12960854,13203271,13475319
4015,274,245,237,264,276,320,227,221,213,217,218,223,611128,613347,617186,621999,628931,638937
4017,134,129,147,140,156,151,76,88,109,131,126,124,323700,326404,327259,329427,330325,333481
4019,1127,1069,1031,968,898,924,570,570,604,614,678,684,3011095,3030747,3049000,3078048,3109121,3147527
4021,249,206,183,179,187,176,189,204,205,225,230,232,1197852,1227042,1255361,1295915,1340164,1390755
